feature_name,mutual_information,variance,random_forest_importance,combined_score
sharpness_edge_sharpness_ratio,0.2687820567863063,1.590049983914774,0.06793958672802503,0.9670329670329672
contrast_rms,0.37967079937846715,0.08217498271038512,0.09943392991449292,0.942857142857143
hsv_value_std,0.18615509228841504,85.46203804016112,0.057290990569531554,0.9274725274725275
hsv_value_mean,0.1681994406422973,200.6695556640625,0.026232773461706195,0.898901098901099
texture_local_entropy_mean,0.19968862393232806,0.251618891718133,0.02438838407885319,0.8945054945054945
hsv_hue_sin_mean,0.19291273405246062,0.1092215318828532,0.028624737203511875,0.876923076923077
rgb_mean_g,0.2607567149526676,0.017046838659111007,0.02402073505183549,0.8615384615384616
luminance_mean,0.17253493202749484,0.01660993092029648,0.034677572920262016,0.8505494505494506
rgb_std_r,0.2103121998508281,0.0036800661585562225,0.05605513608562407,0.8505494505494506
rgb_mean_b,0.1626920556857598,0.01762096664891033,0.02908373804844571,0.8373626373626374
rgb_std_g,0.19152154383728187,0.0031362600626431733,0.03042117251510772,0.8087912087912088
texture_uniformity,0.19968862393232806,0.015726180732383317,0.016524653451275715,0.8065934065934066
contrast_local_std,0.25653166959772244,0.0003132538418475553,0.04831898251897759,0.8021978021978022
texture_local_entropy_std,0.15342311222695174,0.045658650052434094,0.01942397771850582,0.7956043956043957
edge_density,0.19939517522786243,0.003861617084503756,0.020792304317727394,0.7824175824175824
rgb_mean_r,0.08987133434808933,0.01838503148485612,0.02388860006849324,0.7604395604395604
luminance_std,0.14045735148445543,0.003154964467139069,0.02437818609099488,0.7582417582417582
rgb_entropy_r,0.08462071553814848,0.20393933207448237,0.010262630334231493,0.7494505494505496
reflection_intensity_mean,0.10717600864428903,0.008898169255243298,0.02330500372202472,0.7494505494505495
vertical_edge_ratio,0.13023745363370012,0.0059069396315922845,0.019109332997201755,0.7362637362637363
hsv_hue_cos_mean,0.09458853334494934,0.11396351087777286,0.008678435146976311,0.7296703296703297
glare_saturated_region_ratio,0.15778801739897502,0.0026222780035898194,0.018622056677936517,0.7230769230769231
rgb_entropy_g,0.07850112518118647,0.18288558649739975,0.008827473172304897,0.7164835164835165
contrast_uniformity,0.13361244407085934,0.005147978150086449,0.009998534080563427,0.7142857142857143
texture_complexity,0.07478982922421132,0.8874279373342485,0.006855762224721004,0.6901098901098901
noise_consistency,0.10568154422609581,0.005488167853982583,0.008421081472249627,0.6769230769230771
reflection_component_count,0.05728796511217771,786.0,0.007132440925720367,0.676923076923077
fft_peak_1,0.07175491460230424,0.16926707101826236,0.004893090101679397,0.6318681318681318
texture_local_variance_std,0.0814550280628897,4.684340018526932e-05,0.022989494035630883,0.6307692307692307
fft_peak_2,0.07175491460230424,0.16926707101826236,0.0048658262749999796,0.6274725274725275
glare_highlight_mean_intensity,0.06202221276143034,0.003886705864262226,0.01227536278105949,0.621978021978022
brightness_intensity_variation,0.08122833735763471,0.002784638009055309,0.007323591097957677,0.6153846153846154
fft_frequency_entropy,0.07007211170115979,0.008257740498939506,0.006526350249623002,0.5934065934065934
fft_periodicity_score,0.018873248943224258,0.9578802648051299,0.006796836160595374,0.5824175824175825
fft_low_frequency_ratio,0.08129005794363771,0.0013092373092878295,0.005931712103364528,0.5824175824175825
rgb_entropy_b,0.037228712041813744,0.3010596606985208,0.004846725562805085,0.5824175824175825
moire_periodic_stripe_strength,0.02952351638561533,0.34489791385479124,0.0049034239889656035,0.5758241758241759
fft_peak_3,0.06117109547835892,0.1624280114297959,0.004095736103544229,0.5692307692307692
white_balance_blue_green_ratio,0.0220143247537916,0.03111270671786265,0.006023999821882155,0.5450549450549451
pixel_grid_vertical_spacing,0.12597921579495383,125.0,0.001600574241764595,0.5384615384615384
pixel_grid_horizontal_periodicity,0.12651728412963234,0.010822090949314042,0.0027381311912732923,0.5362637362637362
