model,latency_ms,size_kb,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean
random_forest,5.142062919999999,660.6337890625,0.9577464788732394,1.0,0.9117647058823529,0.9538461538461539,0.9920508744038157,0.9185463659147869,0.02696711574305219,0.9181704260651629,0.977713920817369
xgboost,0.07115082999999967,140.8310546875,0.9295774647887324,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.9880763116057234,0.9223684210526315,0.03934038837983038,0.9230403595194885,0.9751961320926839
logistic_regression,0.05846959000000096,4.279296875,0.9154929577464789,0.9375,0.8823529411764706,0.9090909090909091,0.9848966613672495,0.9012531328320803,0.028093242625528755,0.8967739667739668,0.9613300492610838
